X_train,y_train
"[1, 41, 58, 49, 23, 5, 466, 5386, 1264, 1]","[67, 84, 117, 23, 37, 1504, 2, 3116, 3336, 2490]"
"[207, 21, 2705, 1066, 1, 1, 1137, 3, 28, 207]","[1, 1391, 9359, 6280, 7, 4547, 3696, 684, 47, 6360]"
"[335, 6, 3734, 5069, 261, 6, 477, 21, 59, 335]","[48, 1333, 49, 758, 7, 2, 153, 188, 2604, 83]"
"[2873, 81, 1, 689, 907, 1, 106, 4, 2, 146]","[5, 1188, 4, 68, 15, 10, 87, 3, 22, 55]"
"[986, 13, 15, 1066, 3654, 1, 1137, 3, 28, 207]","[982, 687, 44, 1596, 5608, 94, 459, 9, 60, 1]"
"[140, 6, 69, 83, 695, 4506, 11, 66, 140, 12]","[80, 5, 6355, 845, 11, 2, 98, 4, 19, 719]"
"[908, 2657, 1311, 121, 52, 2, 1342, 1, 1, 1390]","[33, 218, 49, 6, 56, 1624, 1054, 11, 1, 1]"
"[1, 5327, 1, 1, 579, 1, 398, 5739, 5, 1159]","[25, 27, 53, 5627, 62, 228, 83, 4, 1201, 339]"
"[130, 123, 959, 43, 857, 48, 28, 56, 84, 217]","[1593, 4539, 39, 63, 3, 2631, 3, 2, 6855, 1]"
"[47, 61, 2047, 596, 7, 1, 3008, 15, 1564, 2231]","[5364, 379, 1, 1, 1791, 1, 1131, 1, 11, 310]"
"[1, 345, 209, 1, 2249, 730, 1043, 16, 9, 1]","[1506, 5, 93, 324, 3, 1, 9, 5, 57, 832]"
"[22, 6642, 6, 29, 715, 8, 57, 22, 6642, 2005]","[9579, 1190, 1, 212, 192, 7254, 47, 4975, 2789, 210]"
"[1, 3670, 3474, 6, 7994, 1, 1137, 3, 28, 207]","[1, 2261, 52, 33, 239, 340, 29, 1295, 176, 83]"
"[2, 619, 1178, 7, 56, 2, 644, 93, 38, 3800]","[22, 529, 4, 6974, 240, 612, 238, 2305, 6, 1153]"
"[1, 4187, 2893, 158, 1, 3557, 2850, 3468, 626, 1]","[286, 3049, 3, 353, 713, 1, 7, 2, 1, 1273]"
"[2, 620, 4, 2, 210, 4, 2, 539, 4, 9552]","[7, 2, 1782, 36, 5979, 1, 61, 2, 1898, 8280]"
"[1, 5761, 2144, 1336, 4213, 4139, 6, 1, 1403, 4572]","[569, 3, 22, 148, 4, 500, 9, 213, 834, 1]"
"[3084, 1, 12, 446, 3, 394, 7, 2621, 167, 84]","[1783, 691, 492, 2387, 65, 2, 190, 2400, 17, 1]"
"[1602, 66, 2, 5028, 4, 19, 904, 27, 246, 15]","[25, 43, 198, 4959, 1349, 1, 1, 17, 1, 2171]"
"[141, 6643, 67, 253, 76, 41, 46, 87, 2949, 117]","[23, 162, 9, 80, 3, 22, 1726, 434, 3, 4511]"
"[855, 80, 50, 9, 5855, 6, 7, 79, 707, 673]","[7, 487, 3, 137, 121, 5, 5016, 109, 2, 257]"
"[1066, 3825, 1, 6, 1, 4855, 1137, 3, 28, 207]","[2, 1528, 10, 148, 4, 153, 1, 537, 6291, 6483]"
"[489, 3, 3872, 2, 5740, 1, 20, 151, 3052, 73]","[7, 6755, 18, 2, 258, 3799, 207, 3, 29, 214]"
"[126, 886, 55, 27, 72, 412, 982, 48, 19, 920]","[6, 24, 37, 185, 3, 221, 2, 7291, 24, 779]"
"[4, 1, 4485, 14, 1830, 9, 234, 11, 19, 549]","[13, 53, 857, 3, 1859, 9, 231, 48, 19, 640]"
"[403, 33, 129, 3, 1, 2, 1, 11, 8, 455]","[841, 87, 3222, 12, 951, 80, 1713, 65, 2, 303]"
"[1, 24, 37, 7, 1644, 126, 860, 132, 165, 203]","[583, 4, 1, 8815, 309, 1012, 3, 1247, 11, 308]"
"[1, 3696, 4, 1, 3139, 3897, 6, 172, 1377, 1550]","[308, 10, 1, 3520, 8873, 114, 11, 602, 2863, 1]"
"[5, 194, 6025, 24, 37, 1, 20, 106, 1294, 1393]","[2282, 4, 1, 34, 26, 7202, 3, 120, 3315, 1]"
"[4102, 2262, 3472, 1, 700, 6, 1, 1, 7330, 15]","[6, 1, 801, 7, 46, 9266, 8, 4435, 1, 8356]"
"[624, 45, 12, 1210, 334, 21, 86, 256, 13, 97]","[1, 1892, 5387, 1, 1, 3075, 1762, 7, 19, 146]"
"[895, 5427, 1, 3, 2, 845, 4, 2592, 6, 1]","[360, 263, 13, 10, 44, 4, 2, 1139, 2122, 1]"
"[1, 15, 558, 2, 165, 203, 1673, 276, 163, 3490]","[3, 456, 2, 1, 11, 56, 4, 2, 1, 931]"
"[5, 9393, 41, 1550, 20, 976, 865, 41, 2, 326]","[767, 261, 24, 2576, 2200, 1149, 6, 484, 271, 1]"
"[664, 113, 18, 2, 2239, 4, 2, 1403, 268, 548]","[755, 7, 806, 6, 1514, 58, 94, 1, 131, 5890]"
"[3675, 606, 553, 574, 173, 805, 344, 1, 301, 1664]","[25, 15, 491, 1740, 8761, 4061, 133, 790, 6, 2457]"
"[79, 882, 203, 3, 1471, 1558, 666, 3, 22, 201]","[7267, 16, 5918, 1, 53, 121, 19, 2170, 1, 168]"
"[1066, 4187, 1, 6, 2811, 1, 1137, 3, 28, 207]","[817, 83, 2720, 1707, 5748, 33, 7, 1, 5584, 752]"
"[5770, 5746, 104, 39, 1844, 2291, 3, 2552, 2, 3070]","[3, 1250, 141, 700, 2346, 33, 9640, 20, 5, 1140]"
"[281, 56, 2, 669, 428, 8837, 11, 86, 2523, 927]","[3789, 11, 5, 5256, 363, 238, 19, 794, 20, 9284]"
"[13, 1279, 545, 16, 132, 2, 510, 1413, 17, 1]","[5315, 134, 3937, 3, 1535, 1786, 229, 11, 2, 676]"
"[918, 850, 62, 640, 40, 66, 1469, 5, 1, 1638]","[3209, 205, 11, 2982, 4362, 2300, 3511, 20, 5088, 111]"
"[459, 3, 1523, 403, 7, 6262, 16, 10, 6318, 52]","[46, 41, 22, 1, 6, 152, 20, 5, 1, 1471]"
"[1, 731, 20, 1, 3, 4117, 905, 5156, 745, 8]","[49, 17, 5, 320, 9793, 42, 2484, 5, 2381, 2103]"
"[2, 1, 12, 48, 45, 12, 848, 5, 172, 452]","[1, 1, 16, 35, 77, 23, 235, 17, 2, 1]"
"[27, 599, 17, 2, 1679, 6, 6964, 17, 2, 212]","[4, 2, 4668, 5990, 1204, 707, 7, 4517, 1, 4664]"
"[256, 7, 96, 636, 47, 75, 5501, 3291, 1, 1]","[15, 10, 358, 48, 1090, 85, 241, 9, 2, 168]"
"[467, 3357, 3, 406, 1821, 75, 3255, 5, 1, 1102]","[6, 201, 4, 608, 96, 181, 76, 1736, 4240, 8089]"
"[1344, 7, 28, 4082, 27, 4044, 119, 4, 2706, 1]","[1, 3, 4418, 2, 1475, 3723, 26, 328, 3, 6986]"
"[804, 9, 271, 53, 10, 2, 4682, 4, 16, 56]","[1, 814, 7, 256, 184, 5, 1684, 73, 2611, 2269]"
"[1, 468, 1, 854, 2355, 40, 3283, 258, 7, 4064]","[4353, 5, 606, 4, 9496, 434, 3, 411, 11, 360]"
"[683, 446, 3, 16, 1, 566, 768, 14, 2, 378]","[10, 30, 1688, 6, 3365, 244, 3, 22, 7, 961]"
"[13, 1741, 11, 87, 289, 7, 2, 1, 1, 617]","[350, 7, 2, 1, 104, 51, 232, 7415, 13, 174]"
"[44, 32, 27, 1043, 7, 1, 6095, 11, 454, 251]","[80, 3, 19, 397, 34, 980, 80, 3, 5755, 1]"
"[4, 194, 7766, 1557, 9, 47, 300, 1908, 2360, 203]","[2, 1, 33, 1, 6, 4724, 171, 186, 365, 203]"
"[2094, 2408, 215, 81, 31, 174, 26, 593, 10, 461]","[1879, 765, 266, 4039, 2399, 245, 3386, 32, 26, 1092]"
"[1, 6, 33, 1886, 9, 30, 4054, 357, 21, 65]","[5071, 849, 3148, 18, 5, 1, 2705, 9, 165, 348]"
"[724, 4404, 9, 1, 4555, 7, 2, 1, 4, 882]","[2985, 26, 329, 11, 1668, 913, 83, 2, 481, 5399]"
"[781, 2, 442, 10, 289, 7, 2, 1716, 778, 1971]","[4699, 4922, 11, 561, 6, 1, 41, 1568, 165, 84]"
"[1985, 38, 27, 29, 686, 4359, 904, 11, 28, 1413]","[88, 1, 4815, 3, 1070, 1, 111, 6, 1408, 1475]"
"[1, 1, 6, 1, 1, 1355, 4, 1, 474, 2179]","[3, 1, 2, 520, 4, 2, 1015, 314, 4, 60]"
"[22, 102, 3, 484, 8692, 92, 2581, 41, 17, 144]","[1782, 10, 8303, 131, 19, 1, 7, 5, 6221, 298]"
"[1, 1621, 17, 5, 1816, 6031, 1465, 1301, 2340, 2113]","[5, 1, 10, 54, 264, 250, 7688, 5, 3822, 1]"
"[6, 16, 10, 2596, 9, 65, 3, 549, 3, 144]","[7221, 1, 46, 13, 632, 21, 105, 537, 9, 4844]"
"[2, 534, 1, 8657, 2, 1131, 194, 9097, 7, 1]","[157, 2, 1, 4386, 12, 6849, 133, 6915, 6, 5631]"
"[5982, 498, 531, 58, 1269, 27, 112, 3, 22, 487]","[12, 4638, 367, 3, 1862, 39, 3855, 7, 2, 464]"
"[9188, 1, 430, 1, 11, 874, 248, 5, 5646, 1361]","[1182, 588, 3496, 437, 41, 22, 1060, 178, 28, 84]"
"[252, 5643, 4, 141, 21, 2, 735, 32, 406, 1]","[1819, 3, 1712, 1, 3, 1, 2727, 14, 2, 179]"
"[6, 2, 1092, 34, 38, 529, 27, 56, 8056, 640]","[5, 485, 339, 1, 1, 34, 12, 134, 14, 31]"
"[203, 5, 1, 9, 959, 1046, 52, 7, 1, 5640]","[163, 301, 375, 17, 924, 1039, 6, 492, 1039, 686]"
"[251, 221, 377, 4, 3297, 1735, 1492, 11, 457, 404]","[26, 1, 47, 3, 7175, 2, 838, 4, 9468, 396]"
"[1316, 52, 9944, 102, 16, 420, 13, 10, 94, 9508]","[2329, 2046, 7, 4556, 23, 1, 713, 651, 3977, 1]"
"[2100, 4, 3847, 2, 3634, 10, 9550, 255, 360, 392]","[1, 912, 1, 13, 10, 205, 25, 235, 280, 178]"
"[336, 92, 11, 5564, 7, 1541, 14, 2446, 1, 1]","[275, 1, 56, 2, 1911, 1, 4, 1, 1125, 210]"
"[2, 5173, 5, 1718, 6, 2744, 3, 1, 19, 741]","[9, 1, 1, 1, 24, 711, 37, 744, 14, 370]"
"[249, 26, 179, 12, 86, 1340, 18, 38, 2130, 203]","[1, 18, 13, 8989, 9, 6675, 1, 3011, 615, 707]"
"[9, 1941, 428, 6, 8, 1, 3, 1715, 18, 125]","[102, 373, 9221, 2, 214, 4, 39, 279, 426, 1]"
"[277, 51, 29, 136, 2, 174, 1386, 117, 2, 1250]","[171, 1401, 9, 808, 164, 52, 7, 1532, 475, 6820]"
"[3815, 6, 9886, 1, 1, 807, 739, 428, 1992, 790]","[5268, 2809, 2601, 12, 1, 544, 11, 1, 5, 84]"
"[9, 678, 9389, 43, 29, 22, 787, 255, 167, 84]","[4319, 3551, 680, 7361, 12, 5954, 43, 74, 1316, 1931]"
"[400, 15, 32, 23, 386, 3, 5334, 2, 53, 487]","[187, 105, 5, 5589, 4, 1, 1, 29, 5168, 4888]"
"[4712, 3935, 1, 6, 8042, 1, 1137, 3, 28, 207]","[3, 76, 385, 221, 913, 6, 905, 1, 20, 1149]"
"[3, 1008, 9, 7973, 7, 2, 174, 4, 1, 1]","[6, 4224, 50, 6166, 14, 2472, 1, 1707, 6, 6235]"
"[3, 2, 1909, 4138, 2, 1, 4, 458, 3507, 2485]","[2540, 33, 1133, 6, 935, 237, 2, 2262, 4, 668]"
"[18, 2, 166, 732, 42, 130, 1014, 2, 1701, 1564]","[4634, 79, 4, 2, 4921, 33, 1, 4365, 8689, 1759]"
"[1, 10, 1065, 50, 20, 2, 4255, 964, 7, 6710]","[1, 127, 1, 1, 3164, 4708, 39, 1379, 12, 1]"
"[331, 1, 129, 3, 98, 205, 14, 622, 36, 15]","[1297, 1719, 10, 3875, 93, 1981, 1636, 1109, 49, 9843]"
"[170, 221, 377, 3, 1, 237, 7, 2, 338, 84]","[3, 395, 43, 74, 76, 1118, 7, 1802, 165, 84]"
"[45, 10, 2234, 7, 5, 340, 111, 2, 9094, 135]","[21, 535, 38, 1937, 858, 72, 4, 5, 1, 1029]"
"[53, 34, 206, 3, 558, 26, 66, 57, 38, 90]","[5, 1, 114, 4, 1805, 17, 2, 921, 1280, 6912]"
"[5, 176, 1, 1263, 565, 1, 11, 511, 17, 1]","[155, 260, 2, 1, 2789, 1393, 9, 745, 13, 16]"
"[1, 1, 7550, 2851, 115, 1, 594, 4890, 1, 1]","[265, 1, 34, 23, 5, 3414, 4357, 4, 724, 1176]"
"[80, 6, 8, 429, 1, 1, 1, 5108, 7, 1]","[1, 1010, 309, 86, 1726, 9, 143, 7, 57, 5835]"
"[4920, 1, 4, 63, 1, 87, 218, 11, 605, 1]","[1303, 133, 790, 6, 2, 296, 24, 37, 4188, 938]"
"[5, 217, 64, 32, 23, 730, 362, 1981, 9345, 1782]","[3604, 1378, 175, 25, 2959, 478, 3, 1, 1, 4027]"
"[2779, 45, 38, 228, 6, 90, 2679, 144, 7, 1]","[9, 123, 1396, 20, 29, 2905, 7, 9106, 7, 825]"
"[3222, 544, 2640, 3222, 6, 64, 3851, 56, 551, 5187]","[296, 2363, 2358, 1274, 1, 41, 1104, 7, 2, 2246]"
"[1344, 7, 28, 4082, 27, 4044, 119, 4, 3622, 1]","[141, 1, 1, 4, 68, 77, 1035, 3, 19, 140]"
"[3222, 544, 2640, 3222, 6, 64, 3851, 56, 551, 5187]","[1, 2, 594, 29, 1809, 4, 57, 1473, 12, 6163]"
"[5, 1712, 4, 569, 9, 2, 1092, 384, 2, 257]","[458, 1810, 3165, 3355, 7, 688, 3, 364, 29, 1414]"
"[7, 2, 154, 183, 502, 21, 7722, 1410, 20, 223]","[53, 5222, 2900, 1176, 64, 206, 72, 7, 2032, 934]"
"[45, 10, 1, 7, 451, 1310, 14, 5, 84, 319]","[3452, 386, 9, 451, 17, 2509, 25, 1277, 12, 2302]"
"[19, 368, 6, 56, 76, 5580, 18, 640, 18, 498]","[5766, 38, 5, 7713, 4, 1, 2239, 5, 1, 820]"
"[6, 3691, 3, 2, 1, 1, 3207, 17, 1, 1]","[1, 4, 1, 6, 1421, 1, 347, 1762, 11, 1957]"
"[4, 626, 1, 34, 10, 264, 20, 77, 7, 234]","[4, 1, 543, 20, 366, 522, 798, 23, 37, 630]"
"[1, 1, 9142, 4139, 3, 709, 6, 5, 273, 1]","[2, 3628, 24, 2647, 11, 492, 170, 122, 35, 103]"
"[1441, 3485, 655, 2479, 2646, 12, 1, 14, 1, 1]","[322, 450, 180, 144, 3, 937, 21, 401, 1552, 9306]"
"[6819, 2227, 1, 10, 953, 3, 378, 1019, 5196, 1]","[615, 566, 617, 1, 17, 2, 214, 4, 2, 689]"
"[92, 2, 2315, 214, 27, 7, 1843, 3648, 4, 2306]","[1, 1, 46, 121, 31, 1, 61, 5, 574, 7577]"
"[1, 7, 1982, 1361, 4941, 21, 2, 210, 4, 780]","[84, 1740, 918, 803, 2124, 6, 29, 934, 2915, 1]"
"[1, 9, 30, 4214, 1, 104, 2, 8187, 5, 2932]","[273, 14, 206, 260, 38, 2891, 1, 10, 558, 112]"
"[1, 32, 96, 2699, 7, 2, 3323, 47, 1, 1485]","[5, 1, 8566, 3313, 1, 853, 249, 2, 1319, 1]"
"[1985, 38, 27, 29, 686, 4359, 904, 11, 28, 1413]","[586, 204, 229, 3045, 9, 6416, 331, 7, 5, 9938]"
"[2, 71, 453, 73, 8, 2, 596, 27, 111, 65]","[36, 28, 348, 18, 5, 8437, 13, 41, 186, 3595]"
"[9530, 4782, 6, 9693, 6623, 3, 6913, 5299, 6, 3144]","[2, 1040, 3, 2, 2360, 1273, 6, 2245, 9523, 1234]"
"[2, 1570, 364, 12, 3, 554, 3, 1752, 169, 199]","[5307, 191, 18, 44, 7, 164, 26, 1126, 1, 1]"
"[18, 172, 18, 9112, 636, 41, 840, 28, 466, 1]","[2, 1475, 8, 51, 58, 138, 118, 5, 1965, 1]"
"[46, 4, 86, 399, 81, 1, 526, 7, 28, 275]","[2, 875, 4, 585, 142, 7, 2, 867, 44, 373]"
"[1, 4822, 3, 1, 14, 2, 5874, 912, 1111, 1167]","[1, 1, 2, 1, 1, 6, 1, 2613, 4, 1]"
"[1, 120, 6027, 14, 19, 1405, 6778, 1, 1, 727]","[1, 25, 3134, 15, 10, 30, 242, 3, 2630, 850]"
"[6615, 712, 20, 3710, 1, 27, 968, 11, 2, 110]","[2763, 3, 28, 3243, 348, 18, 2, 1677, 122, 1]"
"[47, 38, 57, 90, 8422, 2, 3357, 43, 22, 1]","[76, 68, 51, 53, 87, 2, 5122, 1008, 3, 22]"
"[74, 139, 3, 298, 1, 4, 2, 59, 335, 215]","[2, 1, 1, 6258, 5396, 7741, 743, 21, 2, 1973]"
"[1037, 20, 494, 2131, 12, 787, 7, 1, 6, 1]","[43, 9098, 6, 506, 4239, 2, 5657, 4, 43, 52]"
"[20, 1, 43, 22, 1, 41, 1, 236, 2, 75]","[1129, 8982, 130, 57, 311, 1332, 547, 3322, 24, 16]"
"[5, 1, 105, 1, 1756, 6, 143, 1806, 4, 863]","[7, 1, 7610, 242, 1, 757, 250, 5, 1646, 63]"
"[1303, 3, 1, 14, 2805, 1, 706, 21, 2, 1699]","[7, 1, 63, 18, 1, 1, 408, 11, 3, 379]"
"[7, 277, 3, 3936, 664, 85, 928, 1923, 1, 9632]","[5483, 3360, 21, 31, 63, 7, 120, 1222, 1381, 2353]"
"[4433, 2288, 3, 226, 655, 13, 502, 67, 975, 14]","[1, 1969, 1, 24, 1914, 21, 2953, 14, 2182, 1123]"
"[57, 136, 39, 74, 2033, 11, 39, 197, 2046, 5874]","[67, 84, 361, 72, 4, 1481, 48, 39, 1, 1434]"
"[80, 18, 64, 1192, 20, 2415, 4, 465, 5160, 1]","[1, 6, 12, 6974, 1, 7, 487, 3, 7478, 478]"
"[6, 650, 142, 912, 6899, 11, 1, 69, 99, 21]","[17, 1, 2426, 4520, 100, 9, 2, 213, 1, 760]"
"[2240, 9, 116, 8007, 55, 12, 72, 2712, 26, 1]","[273, 2, 1028, 41, 22, 1, 20, 2043, 2171, 1]"
"[47, 203, 6567, 96, 424, 1, 1, 385, 11, 1024]","[79, 291, 37, 893, 25, 2, 2281, 8403, 24, 3091]"
"[1, 1, 1, 1, 1, 1, 1190, 534, 1, 1]","[1148, 1493, 9, 60, 72, 81, 449, 2612, 7, 472]"
"[5, 617, 4, 402, 4162, 3072, 6, 720, 1000, 1]","[493, 5, 485, 122, 15, 2584, 7, 371, 3846, 1]"
"[3, 22, 518, 226, 161, 20, 2, 1476, 2127, 576]","[55, 23, 37, 70, 1, 9, 1, 42, 3466, 1026]"
"[1, 1, 25, 465, 49, 2317, 5, 296, 25, 1]","[182, 31, 65, 1618, 38, 817, 16, 1003, 10, 1]"
"[1, 3, 6, 21, 811, 118, 7364, 21, 7218, 1]","[102, 335, 60, 4158, 1, 17, 5, 1766, 7, 2784]"
"[14, 2, 1, 935, 1, 107, 926, 20, 2, 316]","[2, 94, 6642, 4, 2, 114, 18, 57, 2651, 1]"
"[2453, 7, 1711, 2750, 20, 5823, 7, 19, 76, 4141]","[1, 1, 93, 3516, 6397, 41, 809, 1, 9068, 8232]"
"[51, 9026, 85, 3, 1391, 3, 80, 5, 1575, 15]","[1, 774, 45, 5, 6378, 1288, 10, 2768, 64, 62]"
"[1, 5, 108, 2674, 497, 4, 9244, 7, 178, 951]","[902, 23, 536, 2, 1350, 4, 2, 142, 4, 231]"
"[2957, 226, 84, 26, 33, 435, 16, 14, 2421, 7819]","[11, 1920, 479, 46, 77, 1347, 3, 1939, 7, 446]"
"[6, 82, 19, 1, 9839, 17, 2, 325, 12, 68]","[34, 1198, 1, 1008, 9, 8495, 24, 37, 1, 81]"
"[2, 60, 237, 1, 1426, 2451, 43, 3491, 7, 2873]","[2715, 3, 2, 240, 10, 1, 3, 2, 624, 276]"
"[53, 3, 281, 569, 6449, 2874, 29, 222, 352, 416]","[2, 3987, 6340, 3, 99, 20, 11, 1, 1924, 7397]"
"[300, 48, 2, 491, 11, 307, 3, 975, 4870, 77]","[525, 554, 7, 296, 4749, 1821, 880, 3, 5, 224]"
"[2, 1, 1665, 2, 866, 68, 31, 227, 470, 1]","[83, 13, 12, 420, 65, 1, 5, 3126, 6436, 82]"
"[21, 5, 3653, 5468, 207, 6439, 20, 2, 482, 1167]","[7287, 1957, 3054, 80, 5, 1245, 379, 64, 1, 476]"
"[147, 48, 79, 4, 142, 3762, 1, 7, 2, 904]","[6321, 296, 3, 1, 210, 26, 79, 4, 88, 1]"
"[519, 7918, 299, 14, 6705, 202, 3, 1263, 11, 379]","[1, 41, 121, 19, 4499, 2903, 14, 1, 7, 415]"
"[2, 1611, 9, 2, 4884, 883, 191, 11, 453, 583]","[380, 2, 1886, 1, 9, 165, 7177, 2138, 7, 721]"
"[12, 2019, 9, 379, 276, 479, 6, 337, 390, 479]","[2, 1869, 7230, 373, 46, 24, 5, 57, 1, 7483]"
"[1544, 19, 794, 7, 88, 130, 148, 20, 493, 273]","[3, 1, 2, 638, 4, 663, 17, 9999, 1460, 136]"
"[9, 2, 669, 1911, 964, 163, 1263, 1, 11, 511]","[22, 304, 3, 1226, 98, 39, 660, 400, 101, 72]"
"[571, 2349, 6, 1396, 1657, 6743, 1, 34, 540, 211]","[694, 8937, 24, 489, 5, 1844, 7, 2, 1991, 1156]"
"[1, 114, 7, 2, 105, 110, 82, 401, 1786, 15]","[1597, 38, 2, 701, 9, 31, 217, 4740, 11, 473]"
"[714, 21, 4058, 13, 1502, 7, 19, 59, 1, 855]","[2, 1748, 24, 305, 442, 11, 834, 665, 8102, 275]"
"[143, 2795, 853, 1, 11, 5, 1, 127, 2, 1]","[621, 680, 12, 329, 3, 121, 2, 437, 47, 1]"
"[672, 1846, 12, 8, 2, 1227, 12, 407, 3, 4181]","[8353, 4945, 3, 1158, 2, 3431, 1590, 43, 57, 89]"
"[82, 592, 523, 3870, 25, 484, 85, 622, 12, 498]","[1891, 3, 411, 5, 111, 328, 19, 241, 370, 8003]"
"[5, 2995, 5081, 26, 9, 79, 53, 16, 189, 12]","[1740, 1, 2046, 249, 976, 4, 2, 76, 6, 1781]"
"[128, 792, 142, 2307, 1, 41, 1045, 236, 142, 2288]","[5, 257, 21, 1, 12, 895, 3, 2, 1283, 184]"
"[3107, 2, 106, 6, 27, 47, 1885, 11, 493, 3056]","[23, 2, 241, 1, 6, 26, 386, 7, 2, 2183]"
"[52, 167, 308, 582, 4, 53, 11, 1, 96, 895]","[114, 128, 22, 355, 44, 114, 40, 1099, 22, 1]"
"[2896, 732, 5, 420, 8699, 133, 2173, 6, 318, 760]","[1776, 7, 231, 6, 6533, 7, 2932, 2934, 6, 2784]"
"[8199, 5, 1481, 785, 943, 537, 14, 3012, 3, 2735]","[6179, 3372, 3156, 10, 5250, 7, 425, 97, 116, 75]"
"[1, 4684, 53, 513, 3, 22, 8397, 7, 5, 229]","[26, 86, 218, 118, 1712, 6, 4825, 7, 565, 2917]"
"[1987, 43, 361, 11, 6, 49, 43, 185, 22, 4881]","[3, 2052, 2, 1, 1434, 3, 2702, 31, 526, 593]"
"[30, 1, 3849, 9, 2, 291, 4, 1, 3576, 1964]","[15, 10, 3053, 293, 4, 4609, 791, 1, 2597, 16]"
"[6, 1563, 1, 501, 9, 2640, 1, 1227, 2360, 203]","[419, 30, 56, 4, 15, 12, 2079, 9, 262, 140]"
"[9, 39, 4034, 203, 46, 2291, 3, 5594, 5, 7392]","[1, 23, 54, 185, 5, 8770, 3, 7748, 6941, 2884]"
"[464, 6, 38, 96, 210, 52, 2, 208, 28, 64]","[811, 1131, 969, 1, 7, 5, 1, 566, 7, 6577]"
"[5, 2787, 18, 5, 1, 7, 2, 1773, 1222, 1164]","[41, 865, 7, 57, 311, 13, 1, 60, 1485, 1]"
"[966, 48, 1328, 4, 1122, 118, 4228, 59, 1, 137]","[1489, 9, 2009, 1196, 232, 9, 7525, 120, 3879, 9385]"
"[6952, 424, 77, 78, 29, 22, 1076, 1226, 9, 893]","[1, 10, 253, 164, 200, 25, 12, 444, 3, 2914]"
"[1297, 2, 144, 7, 64, 9, 2, 1, 1, 2671]","[3, 22, 2, 1230, 4, 5, 7479, 1, 1, 807]"
"[23, 1174, 8, 1, 818, 96, 23, 590, 5, 595]","[106, 3693, 65, 5, 2669, 11, 2, 8621, 1, 163]"
"[1, 6, 1792, 3, 3958, 5, 3481, 17, 46, 287]","[10, 8073, 14, 101, 555, 6, 1, 259, 530, 1146]"
"[4, 886, 6, 5, 211, 734, 990, 7, 5940, 5000]","[9296, 1, 1217, 1199, 48, 3379, 7864, 6, 2202, 954]"
"[471, 68, 594, 53, 23, 2444, 794, 3, 8, 3394]","[407, 22, 1, 2701, 58, 67, 9, 180, 59, 1]"
"[3, 23, 47, 61, 2844, 3048, 4, 9359, 221, 6229]","[809, 6135, 1793, 9, 9359, 144, 3, 29, 2202, 1471]"
"[38, 122, 29, 121, 2, 110, 4389, 6, 193, 5727]","[1, 3, 5, 1920, 1053, 114, 379, 17, 4425, 1822]"
"[1, 41, 58, 49, 23, 5, 466, 5386, 1264, 1]","[39, 232, 9, 2085, 920, 7, 2, 76, 1049, 633]"
"[461, 20, 1703, 7, 2, 285, 4, 3661, 148, 1]","[768, 505, 122, 574, 847, 10, 986, 11, 858, 507]"
"[6, 1, 382, 662, 875, 35, 7, 5, 217, 64]","[371, 2, 660, 731, 59, 13, 12, 3, 22, 1485]"
"[6743, 2052, 33, 112, 17, 5, 445, 7, 424, 1]","[1225, 2369, 44, 4, 2, 3091, 15, 24, 37, 779]"
"[5, 3460, 99, 1538, 25, 465, 3, 23, 1, 4768]","[4680, 9, 3887, 7, 1, 45, 13, 41, 22, 4164]"
"[4793, 1285, 4260, 1066, 1872, 1, 1137, 3, 28, 207]","[820, 3, 1771, 3, 4942, 62, 3, 121, 2, 541]"
"[1, 1173, 4, 3999, 354, 2, 1017, 106, 2992, 53]","[1383, 548, 7788, 1, 2171, 9, 2, 57, 311, 200]"
"[72, 612, 3, 406, 5, 114, 9557, 40, 101, 976]","[83, 39, 338, 26, 64, 2, 2263, 48, 39, 947]"
"[465, 141, 25, 153, 697, 80, 185, 23, 185, 43]","[3291, 21, 907, 7000, 4, 1, 3442, 300, 1, 5531]"
"[592, 6613, 7, 3, 1, 379, 638, 653, 17, 1]","[6, 1, 3623, 2, 1021, 24, 11, 43, 1, 3149]"
"[11, 2, 740, 2009, 49, 408, 8827, 7, 3, 513]","[1046, 19, 796, 7, 517, 7623, 11, 19, 473, 903]"
"[674, 2, 4262, 469, 1, 5, 114, 5866, 15, 8058]","[3, 163, 232, 9, 111, 9409, 355, 11, 4051, 2663]"
"[28, 357, 3, 417, 1715, 2, 239, 264, 164, 1]","[5896, 18, 1, 1, 489, 2, 1683, 9934, 1, 611]"
"[3174, 1279, 135, 2, 539, 4127, 17, 375, 4, 3379]","[2622, 3, 56, 1, 11, 2, 6207, 1, 1590, 1125]"
"[2, 6358, 11, 435, 19, 197, 1484, 2, 2203, 636]","[130, 8082, 162, 9, 2, 171, 4, 120, 1222, 236]"
"[363, 7534, 4398, 3, 1752, 2, 506, 4, 2, 1301]","[4, 179, 5603, 120, 154, 22, 2916, 2, 1295, 83]"
"[6969, 6, 1, 6, 1714, 7236, 39, 7236, 12, 1]","[968, 1, 1, 4, 8362, 12, 86, 408, 7, 1]"
"[1, 3, 1418, 52, 8, 1, 1, 2, 1, 2244]","[5, 1, 158, 50, 3, 5611, 9, 5, 1, 2035]"
